City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
240,mount pleasant,32.7941,-79.8626,79.0,96,100,13.8,US,1722997003
241,harsin,34.2721,47.5861,65.21,27,6,1.66,IR,1722997091
242,dauphin,51.1494,-100.0502,59.14,100,100,3.44,CA,1722997092
243,santa ana,33.7456,-117.8678,88.3,66,20,11.5,US,1722996903
244,mantua,45.1667,10.7833,75.09,88,92,4.61,IT,1722997094
245,arraial do cabo,-22.9661,-42.0278,73.26,83,20,17.27,BR,1722996986
246,north bend,43.4065,-124.2243,65.16,68,0,19.57,US,1722996937
247,elverum,60.8819,11.5623,53.28,98,97,3.51,NO,1722997099
248,bhor,18.1667,73.85,74.17,98,100,4.29,IN,1722997100
249,paramonga,-10.6667,-77.8333,61.56,89,38,11.41,PE,1722997101
250,kodiak,57.79,-152.4072,53.11,100,100,16.11,US,1722997102
251,sabang,5.8933,95.3214,81.99,80,100,20.45,ID,1722997103
252,businga,3.3333,20.8833,72.19,83,83,2.01,CD,1722997104
253,iskateley,67.6803,53.1512,46.94,71,8,6.4,RU,1722997106
254,hakha,22.65,93.6167,64.8,99,100,1.14,MM,1722997107
255,pahrump,36.2083,-115.9839,107.26,11,2,1.01,US,1722997108
256,alavus,62.5833,23.6167,53.69,80,85,3.15,FI,1722997109
257,buzen,33.6115,131.13,90.1,59,51,3.65,JP,1722997110
258,tazovsky,67.4667,78.7,46.98,75,0,15.84,RU,1722997111
259,yevpatoriya,45.1972,33.3558,71.74,70,100,11.43,UA,1722997112
260,carnarvon,-24.8667,113.6333,69.62,64,100,9.93,AU,1722997113
261,laguna,38.421,-121.4238,102.45,19,0,5.75,US,1722997115
262,macau,22.2006,113.5461,90.72,84,40,5.75,MO,1722997116
263,egilsstadir,65.2653,-14.3948,44.51,93,20,2.3,IS,1722997117
264,morondava,-20.2833,44.2833,65.88,79,1,3.53,MG,1722997118
265,linares,-35.85,-71.6,39.63,92,9,2.1,CL,1722997119
266,loen,7.7601,168.2307,82.74,75,64,3.71,MH,1722997120
267,burabay,53.0838,70.3138,63.45,89,100,1.99,KZ,1722997121
268,puerto ayacucho,5.6639,-67.6236,74.61,93,96,4.61,VE,1722997122
269,shendi,16.6915,33.4341,77.85,75,100,13.06,SD,1722997123
270,tomatlan,19.9333,-105.25,78.93,88,100,3.24,MX,1722997124
271,kone,-21.0595,164.8658,78.6,42,0,5.08,NC,1722997126
272,villa gesell,-37.2639,-56.973,55.06,99,99,8.41,AR,1722997127
273,woolgoolga,-30.1106,153.2007,66.07,68,94,7.87,AU,1722997128
274,christchurch,-43.5333,172.6333,56.41,63,21,8.05,NZ,1722997129
275,kavieng,-2.5744,150.7967,84.43,73,82,12.1,PG,1722997130
276,alegria,9.4669,125.5772,87.39,66,100,4.32,PH,1722997131
277,taitung city,22.7583,121.1444,89.87,79,75,6.91,TW,1722997132
278,walvis bay,-22.9575,14.5053,53.1,95,84,3.22,NA,1722997133
279,barra do garcas,-15.89,-52.2567,69.15,41,0,1.12,BR,1722997134
280,conde,-7.2597,-34.9075,72.86,94,20,5.75,BR,1722997136
281,bikenibeu village,1.3673,173.1241,87.76,66,20,5.75,KI,1722997137
282,kavaratti,10.5669,72.642,79.88,83,100,8.79,IN,1722997138
283,papao,-17.75,-149.55,82.08,79,15,21.92,PF,1722997139
